time_s,radius_cm,temperature_C,moisture_kg_per_kg,A_T,A_C,log_D_ratio,D_m2_per_s
0,0,28,2.55,0,0,0,5.641680373025668e-9
0,1,28,2.55,0,0,0,5.641680373025668e-9
0,2,28,2.55,0,0,0,5.641680373025668e-9
1,0,28.000000000000018,2.5499999999999994,0,-2.4980018054066023e-17,-2.4980018054066023e-17,5.641680373025668e-9
1,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
1,2,28.000134945338715,2.5217749451568814,0.00000572865525500562,-0.001975153270796204,-0.0019694246155411983,5.6305804426517836e-9
2,0,28.00000000000002,2.5499999999999994,0,-2.4980018054066023e-17,-2.4980018054066023e-17,5.641680373025668e-9
2,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
2,2,28.000373386430237,2.508708826630095,0.00001585086570987486,-0.002904552962130999,-0.002888702096421124,5.625406755238082e-9
3,0,28.00000000000002,2.549999999999999,0,-4.9960036108132046e-17,-4.9960036108132046e-17,5.641680373025668e-9
3,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
3,2,28.000680154667076,2.498994663644633,0.000028873650553080596,-0.0036018251021965766,-0.003572951451643496,5.6215588908924245e-9
4,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
4,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
4,2,28.001042064754408,2.4909101861857392,0.000044237257892433025,-0.004186266634721198,-0.004142029376828765,5.618360695919881e-9
5,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
5,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
5,2,28.00145144638453,2.4838445817338766,0.00006161605646225199,-0.004700167499298672,-0.00463855144283642,5.61557174830388e-9
6,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
6,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
6,2,28.001903108648705,2.4774945010187013,0.00008078966976445435,-0.0051645273280171355,-0.005083737658252681,5.613072329564518e-9
7,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
7,1,28.000000000000014,2.550000000000001,0,9.992007221626409e-17,9.992007221626409e-17,5.641680373025668e-9
7,2,28.00239323422215,2.4716827536202413,0.0001015960323303344,-0.00559161183503889,-0.005490015802708556,5.610792324143314e-9
8,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
8,1,28.00000000000009,2.5500000000000007,5.0090140368830305e-15,7.494005416219807e-17,5.083954091045228e-15,5.641680373025697e-9
8,2,28.002918862215214,2.46629511359212,0.0001239094358815784,-0.005989328065874758,-0.00586541862999318,5.6086864121489134e-9
9,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
9,1,28.000000000000504,2.550000000000001,2.17057274931598e-14,9.992007221626409e-17,2.1805647565376063e-14,5.641680373025791e-9
9,2,28.003477608753258,2.461252825255851,0.00014762866746408781,-0.006363127741536393,-0.006215499074072305,5.606723264368921e-9
10,0,28.000000000000043,2.549999999999999,3.3393426912553537e-15,-4.9960036108132046e-17,3.2893826551472217e-15,5.641680373025687e-9
